user_id,movie_id,rating,PersonalityType
1,1,5,Optimistic
1,4,4,Optimistic
1,5,5,Optimistic
2,2,5,Leader
2,3,4,Leader
2,1,3,Leader
3,3,5,Adventurous
3,4,5,Adventurous
3,5,4,Adventurous
4,1,4,Calm
4,2,3,Calm
4,5,5,Calm
5,2,5,Analytical
5,4,4,Analytical
5,3,5,Analytical
6,1,5,Emotional
6,5,5,Emotional
6,3,4,Emotional
7,4,5,Curious
7,5,4,Curious
7,2,3,Curious
8,3,5,Motivated
8,1,4,Motivated
8,2,5,Motivated
9,5,5,Creative
9,4,4,Creative
9,3,3,Creative
10,2,5,Confident
10,1,4,Confident
10,5,5,Confident
